Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,ValveLeft,ValveRight
10,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,46.214612,50.575814,4.361201999999999,2.8182,3.3612,0.5430000000000001,3.0682,3.095,0.02680000000000016,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.3007, 0.4767, 0.642, 0.9014, 1.0433, 1.2095, 1.4515, 2.1154, 2.2662, 2.4202, 3.095, 3.2870000000000004]","[0.3331, 0.4897, 0.6509999999999999, 0.9442, 1.1221, 1.2955, 1.4538, 2.1316, 2.2734, 2.4482, 3.1643000000000003, 3.3228]","[0.0098, 0.1348, 0.2753, 0.30810000000000004, 0.4656, 0.5675, 0.7118, 0.7227, 0.9147, 1.093, 1.3761, 1.4046, 1.5368000000000002, 2.0554, 2.1956, 2.4295, 2.5272, 3.3013000000000003, 3.3958000000000004]","[0.064, 0.1947, 0.2791, 0.3331, 0.4878, 0.6579999999999999, 0.7166, 0.7971, 0.944, 1.1207, 1.3999, 1.4622000000000002, 1.6181, 2.1388000000000003, 2.2811, 2.4455, 2.6128, 3.3223000000000003, 3.4762]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
11,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,50.588212,54.961314,4.373102000000003,2.8207,3.3731,0.5524,3.0707,3.1061,0.0354000000000001,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.0417, 3.5312, 3.6591, 3.805, 3.9724, 4.1296]","[3.0508, 3.5414000000000003, 3.6931, 3.8441, 3.9881, 4.1312]","[2.9969, 3.1061, 3.1154, 3.2364, 3.3575000000000004, 3.4859, 3.6839, 3.9099, 4.0499, 4.2111, 4.3552]","[3.0594, 3.1142000000000003, 3.18, 3.2935000000000003, 3.4141000000000004, 3.5496000000000003, 3.6886, 3.9942, 4.1431, 4.2869]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
12,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,54.972912,59.539414,4.566502,2.8182,3.5665,0.7483,3.0682,3.1377,0.06950000000000013,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.0356, 0.1658, 0.3832, 0.5442, 0.8285, 1.0074, 3.0478, 3.3003, 3.3093000000000004, 3.4493, 3.5747, 3.7309, 4.0551]","[0.0406, 0.2152, 0.4056, 0.5516, 0.8734000000000001, 1.0533, 3.0659, 3.301, 3.3709, 3.5034, 3.6359, 3.7668, 4.0763]","[0.3635, 0.4461, 0.4726, 0.62, 1.1302, 1.1785, 1.278, 3.0023, 3.1377, 3.6181, 3.7066, 3.8423, 4.0009000000000015]","[0.0519, 0.4065, 0.4607, 0.5622, 0.7093, 1.1455, 1.2113, 1.3657, 3.0754, 3.2108000000000003, 3.6352, 3.7697, 3.9127, 4.0851000000000015]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
13,0,1.0,1,0,0,0,1.0,0.0,0.0,1.0,1,59.550612,63.907014,4.356401999999996,2.8182,3.3564000000000003,0.5382000000000002,3.0682,3.0902000000000003,0.02200000000000024,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[2.5432, 2.6539, 2.8307, 2.9634, 3.0902000000000003, 3.2232000000000003, 3.3414, 3.3513, 3.5017]","[2.5743, 2.7154000000000003, 2.8357, 3.0015, 3.1508000000000003, 3.2710000000000004, 3.3465000000000003, 3.3933, 3.5209]","[2.557, 2.772, 2.9264, 3.3396000000000003, 3.484]","[2.5739, 2.8455, 3.0061, 3.3935, 3.5289]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
14,1,0.0,0,0,1,0,,1.0,,,0,63.917112,68.997314,5.080202,2.8207,4.0802000000000005,1.0,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.9075, 1.021, 1.1967, 1.5069, 1.6735, 1.8268, 1.9749]","[0.9498, 1.0831, 1.208, 1.5203, 1.6803, 1.8275, 2.0537]","[0.9187, 1.0639, 1.1424, 1.2815, 1.5927, 1.6487, 1.7525000000000002, 2.0126, 2.1309]","[0.9502, 1.084, 1.2143000000000002, 1.3601, 1.6125, 1.6859000000000002, 1.8399, 2.0559000000000003, 2.2044]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
15,1,,0,0,1,0,,,,,0,69.009012,74.089214,5.080202,2.8207,4.0802000000000005,1.0,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,,"[0.3904, 0.4890000000000001, 0.6318, 0.883, 1.087, 1.2304000000000002, 1.7241000000000002, 1.9281, 2.1964]","[0.4228, 0.5439, 0.6753, 0.9541, 1.1235, 1.288, 1.7755, 1.9315, 2.2545]","[0.3796, 0.3983, 0.6083000000000001, 0.6237, 0.7362000000000001, 0.945, 1.0891, 1.3517, 1.8535, 1.9733, 2.1642, 2.1848]","[0.3803, 0.4235, 0.6172000000000001, 0.6783, 0.8043, 0.9484, 1.1237, 1.4383, 1.9421, 2.0733, 2.1726, 2.2597]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
16,1,,0,0,1,0,,,,,0,74.103312,79.183514,5.080202,2.8207,4.0802000000000005,1.0,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,,"[1.0358, 1.3832, 1.3914, 1.5928, 4.8771, 4.9535]","[1.0802, 1.3882, 1.4520000000000002, 1.6107, 4.8898, 5.0199]","[1.0530000000000002, 1.1269, 1.2401, 1.5334, 1.7344000000000002, 4.8289, 5.0037]","[1.0833000000000002, 1.1881000000000002, 1.3102, 1.6194000000000002, 1.8199, 4.8962, 5.0166]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
17,1,,0,0,1,0,,,,,0,79.197912,84.278114,5.080202,2.8207,4.0802000000000005,1.0,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,,"[0.2157, 0.4016, 0.7110000000000001, 1.0388, 1.1357000000000002, 1.3614000000000002]","[0.2254, 0.4296, 0.7504000000000001, 1.0525, 1.2195, 1.3794]","[0.1447, 0.39, 0.5247, 0.7341000000000001, 0.8237, 0.8854000000000001, 0.9339, 1.2048, 1.2965, 1.4605]","[0.0568, 0.236, 0.4413, 0.5884, 0.748, 0.8420000000000001, 0.9091, 1.06, 1.2175, 1.3873, 1.5523]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
18,0,,0,0,1,0,,,,,0,84.289012,89.366713,5.077701000000005,2.8182,4.0777,1.0,3.0682,4.0682,1.0,aaa,aaa,1,,0,1,0,1,-70.0,,"[0.5766, 0.7644000000000001, 4.7615, 5.0339]","[0.6295000000000001, 0.7885000000000001, 4.7785, 5.0742]","[0.32, 0.4277, 0.6207, 0.7067, 0.7398, 0.8409000000000001, 0.8553000000000001, 4.7214, 4.8462000000000005, 5.034]","[0.3815, 0.4954, 0.6235, 0.7228, 0.7939, 0.8441000000000001, 0.9321, 4.7856000000000005, 4.9161, 5.0757]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
19,1,,0,0,1,0,,,,,0,89.381312,94.461514,5.080202,2.8207,4.0802000000000005,1.0,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,,"[2.1444, 2.3832, 2.8403]","[2.169, 2.4541, 2.9305000000000003]","[2.1023, 2.2388, 2.4398, 2.5269999999999997, 2.6420000000000003, 2.6643000000000003, 2.8379000000000003, 2.8542]","[2.1755, 2.3098, 2.4503, 2.6063, 2.6595, 2.7435, 2.8443, 2.9346]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
20,1,,0,0,1,0,,,,,0,94.474312,99.554514,5.080202,2.8207,4.0802000000000005,1.0,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,,"[1.2162, 1.7546000000000002]","[1.2675, 1.8243]","[1.2488, 1.3424, 1.3771, 1.4654, 1.5984, 1.7988000000000002, 1.905, 2.0507]","[1.2645, 1.3511, 1.4177, 1.5335, 1.6755, 1.8222, 1.9733, 2.1286]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
21,1,,0,0,1,0,,,,,0,99.569212,104.649414,5.080202,2.8207,4.0802000000000005,1.0,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,,"[0.4927, 0.6054, 0.8059999999999999, 1.0942, 4.8864, 5.0588000000000015]","[0.5332, 0.6867000000000001, 0.8196, 1.1335, 4.9431, 5.0606]","[0.5031, 0.6636000000000001, 0.7483000000000001, 0.8748, 1.088, 4.9182000000000015, 5.0009000000000015]","[0.5336000000000001, 0.6866, 0.8274, 0.9631, 1.1373, 4.9433, 5.0708]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
22,1,,0,0,1,0,,,,,0,104.664012,109.744214,5.080202,2.8207,4.0802000000000005,1.0,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,,"[0.2235, 0.39399999999999996, 0.5352, 0.6622, 4.4866, 4.5911, 4.7479000000000005, 4.9681000000000015]","[0.2473, 0.4072, 0.5498000000000001, 0.7240000000000001, 4.4949, 4.6400000000000015, 4.7533, 5.0217]","[0.0312, 0.32130000000000003, 0.3805, 0.4623, 0.6542, 4.4766, 4.7059000000000015, 4.8202]","[0.099, 0.32680000000000003, 0.4103, 0.5588000000000001, 0.7291000000000001, 4.5035, 4.7618, 4.8863]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
23,0,,1,0,0,1,0.0,,0.0,,1,109.758012,114.283614,4.525602000000006,2.8182,3.5256000000000003,0.7074000000000003,3.0682,3.2166,0.1484000000000001,aaa,aaa,1,,0,1,0,1,-70.0,,"[0.0001, 0.1935, 3.0351000000000004, 3.2594000000000003]","[0.06380000000000001, 0.2002, 3.1026, 3.3025]","[0.1376, 0.2894, 3.0616000000000003, 3.2166]","[0.2093, 0.3664, 3.1027, 3.3037]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
