Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
24,1,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,1,121.33521100000002,126.756213,5.421002000000001,2.8207,4.421,1.6003000000000005,3.0707,3.4115,0.3408000000000002,iaa,iaa,1,,0,0,1,1,70.0,"[0.1295, 1.1783, 1.6564, 2.6129, 3.0391000000000004, 3.4115]","[0.1495, 1.2149, 1.6759000000000002, 2.6231, 3.0632, 3.4219000000000004]","[0.26580000000000004, 1.3414, 1.4681, 1.8058]","[0.309, 1.3607, 1.5128, 1.8507]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
25,1,0.0,0,0,1,0.0,,0.0,,,0,126.767811,131.84801299999998,5.080202000000014,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[1.9162, 2.2133000000000003]","[1.9338, 2.2303]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
26,1,,0,0,1,0.0,,,,,0,131.858311,136.938513,5.080202000000014,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,[2.5559000000000003],[2.5816000000000003],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
27,1,,0,0,1,0.0,,,,,0,136.948811,142.029013,5.0802019999999874,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.9333, 4.1262, 4.2739]","[0.9376, 4.1498, 4.2919]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
28,1,,0,0,0,1.0,0.0,,0.0,,1,142.03901100000004,148.040213,6.001202000000006,2.8207,5.0012,2.1805,3.0707,3.9917,0.9210000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[2.5466, 3.9917, 4.1305000000000005]","[2.5761000000000003, 4.0121, 4.1606000000000005]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
29,1,0.0,0,0,1,0.0,,0.0,,,0,148.049611,153.12981299999996,5.080202000000014,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,[2.9139],[2.9381],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
30,1,,1,0,0,0.0,1.0,,1.0,,1,153.139711,158.41741299999995,5.277702000000005,2.8207,4.2777,1.4570000000000003,3.0707,4.0099,0.9392,iaa,iaa,1,,0,0,1,1,70.0,"[4.9142, 5.0583]","[4.933400000000002, 5.0762]","[4.0099, 4.2044000000000015, 4.3002, 4.3008000000000015, 4.4117000000000015, 4.5193]","[4.0305, 4.2147000000000014, 4.3004, 4.3290000000000015, 4.4317, 4.5391]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
31,0,0.0,0,0,0,1.0,0.0,1.0,1.0,1.0,1,158.428911,164.153313,5.724401999999998,2.8182,4.7244,1.9062,3.0682,3.7149,0.6467,aaa,aaa,1,,0,1,0,1,-70.0,[1.0808],[1.0839],"[0.35860000000000003, 0.4776, 0.7644000000000001, 0.8909999999999999, 2.4879, 3.7149, 3.8338, 5.6189]","[0.3773, 0.5024000000000001, 0.7943, 0.9288, 2.5157000000000003, 3.7249, 3.8464, 5.6523]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
32,1,1.0,1,0,0,0.0,1.0,0.0,1.0,1.0,1,164.163811,169.50041299999995,5.336601999999999,2.8207,4.3366,1.5158999999999998,3.0707,4.0688,0.9981000000000004,iaa,iaa,1,,0,0,1,1,70.0,[0.8137000000000001],[0.8146],"[0.0196, 1.0529, 1.187, 4.0688, 4.9356]","[0.0436, 1.0794, 1.2088, 4.1067, 4.9513]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
33,1,1.0,0,0,1,0.0,,1.0,,,0,169.51091100000005,174.59111299999995,5.080202000000014,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[4.3474, 4.4588, 4.7476]","[4.3903, 4.5057, 4.7798]","[0.1108, 4.8851, 4.9877]","[0.0238, 0.1361, 4.9056000000000015, 5.0159]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
