Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,ILDRep,P,Drug
10,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,48.332411,52.785213,4.452801999999998,2.8182,3.4528000000000003,0.6346000000000003,3.077,3.1845000000000003,0.10750000000000036,aaa,aaa,1,,0,1,0,1,-70.0,"[0.8349000000000001, 1.0602, 1.3182, 1.4876, 1.8284, 2.6067, 3.1845000000000003, 3.3497000000000003, 3.4723, 3.5898000000000003, 3.717, 3.8575, 4.0038, 4.1831000000000005]","[0.8758, 1.1022, 1.354, 1.5358, 1.8952, 2.6913, 3.2588000000000004, 3.3847, 3.5102, 3.6338, 3.7642, 3.9055, 4.0499, 4.1997]","[2.238, 3.0005, 3.0126]","[2.2911, 3.0026, 3.0434]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
11,1,0.0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,52.795111,57.442213,4.647102000000004,2.8207,3.6471,0.8264,3.0789999999999997,3.1325000000000003,0.0535000000000001,iaa,iaa,1,,0,0,1,1,70.0,"[1.8322, 1.9711, 2.3227, 2.5252000000000003, 3.1325000000000003, 3.1710000000000003, 4.2084, 4.5728]","[1.8438, 2.0234, 2.3798, 2.5865, 3.1507, 3.1757, 4.2299, 4.6203]","[1.6113000000000002, 2.9207, 3.3793, 3.4962, 3.6027, 3.7351, 3.8756]","[1.6541, 2.9693, 3.3839, 3.5181, 3.6423, 3.7736, 3.9175]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
12,0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,1,57.452011,62.390613,4.938602000000003,2.8182,3.9386,1.1204,3.077,3.6703,0.5933000000000002,aaa,aaa,1,,0,1,0,1,-70.0,"[0.2481, 3.0168, 3.6703, 3.7779, 3.9096, 3.9173, 4.0337000000000005, 4.1724000000000006, 4.4989]","[0.3146, 3.0676, 3.6972, 3.8297, 3.915, 3.9558, 4.0805, 4.2267, 4.5554000000000014]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
13,0,1.0,0,0,1,0.0,,1.0,,,0,62.400911,67.487413,5.086502000000003,2.8182,4.0865,1.2683,3.077,4.077,1.0,aaa,aaa,1,,0,1,0,1,-70.0,"[0.5587, 0.9089, 1.7457, 2.0491]","[0.5681, 0.9559, 1.8033, 2.1134]","[0.0528, 0.17500000000000002, 0.3276, 1.5739]","[0.0555, 0.2276, 0.3738, 1.5804]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
14,0,,1,0,0,0.0,1.0,,0.0,,1,67.499711,72.023513,4.523801999999988,2.8182,3.5238,0.7056,3.077,3.2555,0.1785000000000001,aaa,aaa,1,,0,1,0,1,-70.0,"[0.5169, 0.67, 0.7919, 0.9253, 1.0687, 1.2179, 1.5438, 2.1934, 2.4290000000000003, 2.4419, 2.4453, 2.8479, 3.2555, 3.4177, 3.5377, 3.6661, 3.8067, 3.9593]","[0.5709000000000001, 0.7032, 0.8390000000000001, 0.9706, 1.1089, 1.2646000000000002, 1.5993000000000002, 2.2047000000000003, 2.4366000000000003, 2.4435, 2.4596, 2.9014, 3.3263000000000003, 3.4531, 3.576, 3.708, 3.8499, 3.9978]",[1.99],[1.9959],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
15,1,0.0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,72.034811,76.894213,4.859401999999988,2.8207,3.8594,1.0387,3.0789999999999997,3.1942000000000004,0.1152000000000002,iaa,iaa,1,,0,0,1,1,70.0,[3.1942000000000004],[3.248],"[3.5916, 3.7194, 3.8292, 3.9556, 4.0897000000000014]","[3.62, 3.7433, 3.8603, 3.9955, 4.1326]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
16,1,1.0,1,0,0,0.0,1.0,0.0,1.0,1.0,1,76.905011,81.541613,4.6366019999999954,2.8207,3.6366,0.8159000000000001,3.0789999999999997,3.3688,0.2898000000000001,iaa,iaa,1,,0,0,1,1,70.0,"[0.0279, 0.0313, 0.8984000000000001, 0.9056, 1.0844, 1.2444, 1.4016, 1.546, 1.7415, 1.9474]","[0.029900000000000006, 0.0392, 0.9019, 0.9199, 1.1341, 1.3003, 1.4520000000000002, 1.5962, 1.7727000000000002, 1.9846]","[0.487, 0.7138, 3.3688, 3.4623000000000004, 3.5812000000000004, 3.5861, 3.702, 3.8362, 4.0012]","[0.4906, 0.7188, 3.3753, 3.4930000000000003, 3.5826, 3.6162, 3.7447, 3.8836, 4.0347]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
17,0,0.0,1,0,0,1.0,0.0,1.0,0.0,0.0,1,81.551711,86.926813,5.375101999999997,2.8182,4.3751,1.5568999999999995,3.077,3.7638,0.6868000000000003,aaa,aaa,1,,0,1,0,1,-70.0,"[0.8233, 1.2121, 4.1068, 4.2425000000000015, 4.3605, 4.482, 4.6216, 4.7618, 4.9009, 5.0351, 5.3483]","[0.8336, 1.276, 4.1655, 4.2778, 4.3961000000000015, 4.524, 4.6647, 4.8020000000000005, 4.9384000000000015, 5.0782]","[0.4388, 0.622, 3.7638]","[0.4789000000000001, 0.6541, 3.8087]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
18,1,0.0,1,0,0,0.0,1.0,0.0,1.0,0.0,1,86.940611,91.521413,4.580801999999991,2.8207,3.5808,0.7601,3.0789999999999997,3.313,0.23399999999999999,iaa,iaa,1,,0,0,1,1,70.0,"[0.1203, 0.7556, 0.7814, 1.2733, 4.5585]","[0.0108, 0.16540000000000002, 0.7575000000000001, 0.8166, 1.3351]","[0.5778, 3.313, 3.4105000000000003, 3.5389000000000004, 3.6431, 3.7687]","[0.6041000000000001, 3.3203, 3.4338, 3.5551000000000004, 3.6812, 3.8149]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
19,0,0.0,1,0,0,0.0,1.0,1.0,0.0,0.0,1,91.531311,96.861613,5.330302000000003,2.8182,4.3303,1.5121000000000002,3.077,4.062,0.9850000000000004,aaa,aaa,1,,0,1,0,1,-70.0,"[0.4191, 4.062, 4.0817000000000005, 4.2007, 4.3245000000000005, 4.4633]","[0.0181, 0.4744, 4.0636, 4.1118000000000015, 4.231, 4.3580000000000005, 4.4947]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
20,0,1.0,0,0,1,0.0,,1.0,,,0,96.87391099999999,101.951613,5.077701999999988,2.8182,4.0777,1.2595,3.0682,4.0682,1.0,aaa,aaa,1,,0,1,0,1,-70.0,"[0.13870000000000002, 0.256, 0.4157, 0.5628000000000001, 0.7342000000000001, 0.9089, 1.6494, 2.1723]","[0.1615, 0.3024, 0.4592, 0.614, 0.7784000000000001, 0.955, 1.6668, 2.2319999999999998]","[1.2761, 1.4187]","[1.2959, 1.4664]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
21,1,,1,0,0,1.0,0.0,,1.0,,1,101.962711,106.72931299999999,4.766602000000006,2.8207,3.7666,0.9459,3.0707,3.1828000000000003,0.11210000000000032,iaa,iaa,1,,0,0,1,1,70.0,"[1.5163, 2.0409, 2.1787, 2.5353000000000003, 2.8242000000000003, 2.9839, 3.1828000000000003, 4.1283, 4.2597000000000005, 4.4165, 4.6229000000000005]","[1.5730000000000002, 2.0441000000000003, 2.217, 2.5935, 2.8592, 3.0573, 3.2266000000000004, 4.1312, 4.3156, 4.4657, 4.6569]","[2.4019, 3.4988, 3.6515, 3.7734, 3.9094]","[2.4067000000000003, 3.552, 3.6932, 3.8229, 3.9637]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
22,0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,1,106.74051100000001,111.07801299999998,4.3375020000000015,2.8182,3.3375000000000004,0.5193000000000003,3.0682,3.0692,0.00099999999999989,aaa,aaa,1,,0,1,0,1,-70.0,"[0.1915, 3.0306, 3.0692, 3.2303, 3.3927, 3.4997000000000003, 3.6306, 3.7494]","[0.0524, 0.2425, 3.0325, 3.0878, 3.2756000000000003, 3.4108, 3.5375, 3.6679, 3.7898]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
23,1,0.0,0,0,1,0.0,,1.0,,,0,111.09071100000001,116.17091299999998,5.080202,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.3842, 0.5715, 0.804, 1.2496, 4.9048]","[0.4462, 0.6364000000000001, 0.8648, 1.3013, 4.9082]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
24,1,,0,0,1,0.0,,,,,0,116.182911,121.26311299999999,5.080202,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.4447, 0.6244000000000001, 0.8205, 1.4438, 1.8033]","[0.501, 0.6876, 0.8302, 1.5087000000000002, 1.8749]","[0.1083, 1.2943]","[0.16340000000000002, 1.296]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
25,1,,1,0,0,0.0,1.0,,1.0,,1,121.27461100000001,125.974313,4.699702000000002,2.8207,3.6997,0.879,3.0707,3.4319,0.3612000000000002,iaa,iaa,1,,0,0,1,1,70.0,"[2.4451, 2.9374]","[2.4992, 3.0177]","[3.4319, 3.911, 4.0387, 4.1406, 4.2621, 4.4115, 4.5722000000000005]","[3.4387000000000003, 3.9282, 4.0478000000000005, 4.1747000000000005, 4.3034, 4.441, 4.6119]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
26,1,1.0,0,0,1,0.0,,1.0,,,0,125.992011,131.07221299999998,5.080202,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.1944, 0.4552000000000001]","[0.2577, 0.514]","[0.008400000000000001, 5.0343]","[0.0679, 5.0714000000000015]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
27,1,,0,0,1,0.0,,,,,0,131.08281100000002,136.16301299999998,5.080202000000014,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,[],[],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
28,0,,1,0,0,0.0,1.0,,0.0,,1,136.175511,141.370513,5.195001999999988,2.8182,4.195,1.3768000000000002,3.0682,3.9267,0.8585000000000003,aaa,aaa,1,,0,1,0,1,-70.0,"[3.9267, 4.0739, 4.197, 4.3281, 4.4748, 4.6476000000000015, 4.8064, 4.9594000000000005]","[3.9921, 4.118, 4.2403, 4.3758, 4.5313, 4.6889, 4.8384, 5.0049]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
29,1,0.0,0,0,1,0.0,,1.0,,,0,141.380311,146.460513,5.0802019999999874,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,[],[],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
30,0,,0,0,1,0.0,,,,,0,146.470211,151.547913,5.077701999999988,2.8182,4.0777,1.2595,3.0682,4.0682,1.0,aaa,aaa,1,,0,1,0,1,-70.0,"[1.5569000000000002, 2.1096, 2.2405, 2.4399]","[1.6034000000000002, 2.1273, 2.3049, 2.5065]",[2.8337000000000003],[2.8383000000000003],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
31,0,,0,0,1,0.0,,,,,0,151.559911,156.637613,5.077701999999988,2.8182,4.0777,1.2595,3.0682,4.0682,1.0,aaa,aaa,1,,0,1,0,1,-70.0,[],[],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
32,1,,0,0,1,0.0,,,,,0,156.69421100000002,161.77441299999995,5.080202000000014,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,[2.6633],[2.6778],"[2.1771000000000003, 2.3281, 2.3586]","[2.1809000000000003, 2.3477, 2.3640000000000003]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
33,1,,0,0,1,0.0,,,,,0,161.78471100000004,166.864913,5.080202000000014,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,[],[],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
34,0,,0,0,1,0.0,,,,,0,166.87471100000005,171.95241299999995,5.077702000000016,2.8182,4.0777,1.2595,3.0682,4.0682,1.0,aaa,aaa,1,,0,1,0,1,-70.0,[],[],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
35,1,,0,0,1,0.0,,,,,0,171.96211100000005,177.04231299999995,5.080202000000014,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,[],[],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
36,0,,0,0,1,0.0,,,,,0,177.053011,182.130713,5.077701999999988,2.8182,4.0777,1.2595,3.0682,4.0682,1.0,aaa,aaa,1,,0,1,0,1,-70.0,[],[],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
37,1,,0,0,1,0.0,,,,,0,182.141511,187.221713,5.0802019999999874,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,[],[],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,327,36010,327,1.6.2,327_stage_training_v2_20220117-142950,2022-01-17,14:30:00.164778,14:45:00.184117,,,
