Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,ILDRep,P,RespWin,ITI,WarmUp,RecoveryMode
10,1,0.0,0,0,1,0.0,,0.0,,,0,50.30643,55.394633,5.088203,2.8207,4.0882000000000005,1.2675000000000003,3.0787,4.0787,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.1229, 0.4828, 0.804, 0.8311000000000001, 0.8470000000000001, 0.9332, 0.9615, 1.2418, 2.3024, 2.6792, 2.8531]","[0.1323, 0.4904, 0.8082, 0.8414, 0.8529, 0.935, 0.9926, 1.2568, 2.3101000000000003, 2.7019, 2.8836]","[1.9183, 1.9646, 2.1326, 5.0728]","[1.9259, 1.9759, 2.1436, 5.0789]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
11,0,,0,0,1,0.0,,,,,0,55.41513000000001,60.500133,5.085003,2.8182,4.085,1.2668,3.0755000000000003,4.0755,0.9999999999999996,aaa,aaa,1,,0,1,0,1,-70.0,"[0.2244, 0.5673, 1.2892, 2.2683, 5.0082]","[0.2362, 0.5724, 1.3101, 2.2709, 5.0392]","[0.991, 1.0322, 1.7011, 1.7312, 2.7639]","[0.9921, 1.0358, 1.7071, 1.7445000000000002, 2.7759]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
12,1,,1,0,0,1.0,0.0,,1.0,,1,60.50983000000001,66.101833,5.592002999999997,2.8207,4.5920000000000005,1.7713000000000003,3.0787,3.5165,0.4378000000000002,iaa,iaa,1,,0,0,1,1,70.0,"[0.0492, 0.1605, 0.2777, 1.3597, 1.4985000000000002, 1.7572, 1.7611, 2.6524, 2.8043, 3.5165, 3.5333, 3.6517, 3.929, 4.1265, 4.1449, 5.1028, 5.2461, 5.5899]","[0.0609, 0.1774, 0.3042, 1.3785, 1.5145000000000002, 1.7599, 1.7675, 2.6577, 2.8291, 3.5295, 3.5374000000000003, 3.6798, 3.9444, 4.1306, 4.1504, 5.1117, 5.2583]","[0.9413, 1.0611000000000002, 1.2265, 2.1750000000000003, 2.2945, 2.3374, 2.4526000000000003, 4.3245000000000005]","[0.949, 1.1037, 1.2419, 2.1935, 2.3103, 2.3428, 2.5088, 4.3417]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
13,1,1.0,0,0,1,0.0,,0.0,,,0,66.11313,71.20133299999998,5.088203000000006,2.8207,4.0882000000000005,1.2675000000000003,3.0787,4.0787,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.5933, 0.7119000000000001, 0.74, 1.13, 1.14, 2.9257]","[0.5967, 0.7283000000000001, 0.758, 1.1334, 1.1462, 2.9417]","[1.4759, 1.6121, 2.4218, 2.5473000000000003]","[1.4803000000000002, 1.6159, 2.4371, 2.6065]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
14,1,,1,0,0,1.0,0.0,,1.0,,1,71.21163,75.833933,4.622303000000001,2.8207,3.6223,0.8016000000000001,3.0787,3.1748000000000003,0.0961000000000003,iaa,iaa,1,,0,0,1,1,70.0,"[2.0209, 2.1745, 2.8333, 2.8551, 2.9797, 3.1748000000000003, 4.0953, 4.1151, 4.2696000000000005]","[2.0254000000000003, 2.1830000000000003, 2.8400000000000003, 2.8763, 3.0269999999999997, 3.1983, 4.1059, 4.138, 4.29]","[1.5143, 3.3548]","[1.5232, 3.3588]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
15,0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,1,75.84443,80.304733,4.460302999999996,2.8182,3.4603,0.6421000000000001,3.0755000000000003,3.1935,0.11799999999999987,aaa,aaa,1,,0,1,0,1,-70.0,"[0.6962, 0.8305, 0.9727, 1.0021, 1.4585, 1.8244, 3.0589999999999997, 3.1935, 3.3173000000000004, 3.4488000000000003, 3.5731, 3.7101, 3.8231]","[0.6975, 0.8683000000000001, 0.9765, 1.0244, 1.5027, 1.849, 3.0917000000000003, 3.2150000000000003, 3.339, 3.4723, 3.6027, 3.7384, 3.8661]",[2.1736],[2.1785],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
16,1,0.0,0,0,1,0.0,,1.0,,,0,80.31453,85.402733,5.088202999999994,2.8207,4.0882000000000005,1.2675000000000003,3.0787,4.0787,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.1738, 0.314, 0.32830000000000004, 2.2348, 2.259, 2.4370000000000003, 2.9619, 4.1690000000000005, 4.3253, 4.4927, 4.6549000000000005]","[0.1778, 0.3204, 0.3542, 2.2501, 2.2868, 2.4665, 3.0042, 4.2123, 4.3701, 4.5169999999999995, 4.6762000000000015]","[0.885, 1.1848, 1.2229999999999999, 1.7336]","[0.8944000000000001, 1.1964, 1.2355, 1.7511]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
17,1,,1,0,0,1.0,0.0,,1.0,,1,85.42213000000002,90.308033,4.885902999999999,2.8207,3.8859,1.0652,3.0787,3.3124,0.23370000000000024,iaa,iaa,1,,0,0,1,1,70.0,"[1.1775, 1.3176, 1.9037, 2.0765, 2.0992, 3.3124, 4.1659000000000015, 4.2969, 4.4275, 4.4495000000000005]","[1.2103000000000002, 1.3629, 1.944, 2.0831, 2.1227, 3.341, 4.1808000000000005, 4.3209, 4.4281000000000015, 4.4768]","[0.5482, 0.5864, 0.7342000000000001, 0.8465, 3.6184]","[0.5529999999999999, 0.5942000000000001, 0.7381000000000001, 0.8972, 3.6656]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
18,1,1.0,1,0,0,0.0,1.0,0.0,1.0,1.0,1,90.31813000000001,94.818933,4.500803000000005,2.8207,3.5008000000000004,0.6801000000000004,3.0787,3.2333000000000003,0.1546000000000003,iaa,iaa,1,,0,0,1,1,70.0,"[3.0672, 4.1258, 4.2643, 4.391]","[3.085, 4.1269, 4.2822000000000005, 4.4224000000000006]",[3.2333000000000003],[3.2377],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
19,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,1,94.83663,99.254333,4.417703000000003,2.8207,3.4177,0.597,3.0787,3.1502000000000003,0.07150000000000034,iaa,iaa,1,,0,0,1,1,70.0,"[0.597, 0.7693, 1.5841, 1.7342000000000002, 2.2473, 2.4867, 3.9437, 4.0758]","[0.6379, 0.7818, 1.6047, 1.7758, 2.2899000000000003, 2.5054000000000003, 3.9579, 4.0998]","[1.0926, 1.1295, 2.8729, 3.0294000000000003, 3.1502000000000003]","[1.0943, 1.1432, 2.889, 3.0384, 3.1995]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
20,0,0.0,1,0,0,1.0,0.0,1.0,0.0,0.0,1,99.26453000000001,104.75523299999999,5.4907030000000105,2.8182,4.4907,1.6725000000000003,3.0682,3.81,0.7418,aaa,aaa,1,,0,1,0,1,-70.0,"[0.4206, 0.4484, 0.5700000000000001, 0.7180000000000001, 4.2239, 4.3308, 4.4778, 4.5927, 4.6902, 4.7044000000000015, 4.8441, 4.9724, 5.1123]","[0.4226, 0.4527000000000001, 0.6193000000000001, 0.7639, 4.2434, 4.3797000000000015, 4.4984, 4.6133000000000015, 4.6960000000000015, 4.7363, 4.8776, 5.0139000000000005, 5.1575000000000015]","[0.0931, 3.81, 4.0419, 4.0684000000000005]","[0.1042, 3.8169999999999997, 4.0598, 4.0905000000000005]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
21,0,1.0,1,0,0,0.0,1.0,0.0,0.0,1.0,1,104.76663,109.16633300000001,4.399702999999988,2.8182,3.3997,0.5815000000000001,3.0682,3.1329,0.0647000000000002,aaa,aaa,1,,0,1,0,1,-70.0,"[1.4474, 2.1032, 2.1154, 2.2739000000000003, 2.6488, 2.9647, 2.987, 3.1329, 3.2718000000000003, 3.3801, 3.5003, 3.6066, 3.6203, 3.7311, 3.7454, 4.3362]","[1.4703000000000002, 2.1137, 2.1219, 2.2946, 2.6569000000000003, 2.9774000000000003, 3.0129, 3.1656, 3.2872000000000003, 3.4008000000000003, 3.5292000000000003, 3.6115, 3.6504, 3.7343, 3.7768, 4.3757]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
22,0,1.0,0,0,1,0.0,,1.0,,,0,109.17773000000001,114.25543300000001,5.077703,2.8182,4.0777,1.2595,3.0682,4.0682,1.0,aaa,aaa,1,,0,1,0,1,-70.0,"[0.0816, 0.43799999999999994, 0.5726, 1.5762, 1.7134, 1.8743, 2.0154, 2.1643, 2.3426]","[0.1245, 0.4603, 0.6079, 1.5936, 1.7701, 1.9016, 2.0595, 2.2108000000000003, 2.3726000000000003]","[0.9488, 1.0493, 1.0888, 1.2405000000000002]","[0.9506, 1.0563, 1.1015, 1.2539]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
23,0,,1,0,0,0.0,1.0,,0.0,,1,114.26663,118.690933,4.424302999999996,2.8182,3.4243,0.6061000000000001,3.0682,3.1575,0.08930000000000016,aaa,aaa,1,,0,1,0,1,-70.0,"[2.3959, 2.4112, 2.5249, 2.7438, 2.8575, 2.8729, 2.9898, 3.1575, 3.2377, 3.2577000000000003, 3.3907000000000003, 3.5034, 3.6234, 3.7382]","[2.4039, 2.4294, 2.5696000000000003, 2.7565, 2.8726000000000003, 2.9026, 3.0326, 3.1607000000000003, 3.2509, 3.2840000000000003, 3.4120000000000004, 3.5302, 3.6595, 3.7837]","[4.1893, 4.2843, 4.3174]","[4.1947, 4.2932000000000015, 4.3404]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
24,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,118.70073000000001,123.07693300000001,4.376203000000004,2.8182,3.3762000000000003,0.5580000000000003,3.0682,3.1094,0.0411999999999999,aaa,aaa,1,,0,1,0,1,-70.0,"[0.1771, 0.28950000000000004, 0.4199, 0.5524, 0.7256, 0.8995000000000001, 1.1681, 1.3129, 1.8153, 1.8426, 1.9587, 1.9824, 2.9339999999999997, 3.1094, 3.2418, 3.3737000000000004, 3.4983, 3.6394, 4.1770000000000005]","[0.2032, 0.335, 0.4672, 0.5992000000000001, 0.7527, 0.9458, 1.2049, 1.3637, 1.8224, 1.8651, 1.9716, 2.0069999999999997, 2.9577, 3.1379, 3.2662, 3.3928000000000003, 3.5273000000000003, 3.6664, 4.2091]","[0.049100000000000005, 1.6978, 2.2688, 2.4634, 2.5691, 2.7727]","[0.051300000000000005, 1.7051, 2.3225, 2.4692000000000003, 2.6212, 2.7839]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
25,0,1.0,1,0,0,1.0,0.0,1.0,0.0,1.0,1,123.08753,127.867333,4.779803000000001,2.8182,3.7798,0.9615999999999998,3.0682,3.1823,0.11410000000000008,aaa,aaa,1,,0,1,0,1,-70.0,"[0.466, 0.4794000000000001, 0.6048, 1.4578, 1.881, 2.0669999999999997, 2.2457000000000003, 2.6180000000000003, 2.7273, 2.7564, 3.5130000000000003, 3.7029, 3.8488, 3.9789999999999996, 4.1088000000000005, 4.256, 4.417]","[0.4745, 0.4824, 0.6504, 1.4909999999999999, 1.9256, 2.1127, 2.2862, 2.6363000000000003, 2.738, 2.7821, 3.5296000000000003, 3.731, 3.8705, 3.9989, 4.1434000000000015, 4.2875000000000005, 4.44]","[0.1262, 0.1741, 0.2767, 0.3252, 0.9497, 0.9891, 1.12, 1.1464, 1.2731, 3.1823, 3.2952000000000004, 3.3389]","[0.1289, 0.1774, 0.27890000000000004, 0.33080000000000004, 0.9528, 0.9985, 1.1379, 1.1662, 1.3258, 3.1936, 3.3074000000000003, 3.3592]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
26,1,0.0,1,0,0,0.0,1.0,0.0,1.0,0.0,1,127.87843000000001,132.288833,4.4104030000000165,2.8207,3.4104,0.5897000000000001,3.0707,3.1429,0.07220000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.0872, 0.1057, 0.7788, 3.9819999999999998, 4.0904, 4.2561, 4.3936]","[0.102, 0.1121, 0.7925000000000001, 3.9937, 4.1365, 4.2763]","[0.4512000000000001, 0.6288, 3.0445, 3.1429, 3.3949000000000003, 3.4201, 3.5789, 3.83]","[0.455, 0.6364000000000001, 3.0478, 3.1862000000000004, 3.3969, 3.4407, 3.5836, 3.8328]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
27,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,1,132.31503,136.751233,4.436203000000006,2.8207,3.4362000000000004,0.6155000000000004,3.0707,3.1687000000000003,0.09800000000000032,iaa,iaa,1,,0,0,1,1,70.0,"[2.2766, 2.4384, 3.3310000000000004, 3.4728000000000003, 4.2484, 4.4038, 4.4270000000000005]","[0.0032, 2.3163, 2.4635, 3.3618, 3.4928000000000003, 4.2952, 4.4164]","[1.8833, 1.9880000000000002, 2.9781, 3.1687000000000003, 3.8365, 3.8725]","[1.8846, 2.0276, 3.0014000000000003, 3.1746000000000003, 3.8526, 3.887]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
28,1,1.0,1,0,0,1.0,0.0,1.0,1.0,1.0,1,136.76213,141.615033,4.852902999999999,2.8207,3.8529,1.0322,3.0707,3.2527000000000004,0.1820000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.2024, 0.3178, 0.4901, 3.2527000000000004, 3.9486, 4.0834, 4.1876, 4.2144]","[0.0043, 0.2223, 0.3654, 0.5155000000000001, 3.2668000000000004, 3.9664, 4.1066, 4.1973, 4.2422]","[3.5854000000000004, 3.68, 4.5612, 4.6657, 4.7096]","[3.5924, 3.7256, 4.5727, 4.6737, 4.7225]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
29,1,1.0,0,0,1,0.0,,0.0,,,0,141.62653,146.706733,5.080203000000012,2.8207,4.0802000000000005,1.2595000000000005,3.0707,4.0707,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.1313, 0.2245, 0.2519, 0.3705, 0.396, 0.7045, 0.865, 1.6251, 1.6582, 1.7649, 1.8978, 1.9213, 2.0445, 2.2404]","[0.1439, 0.2314, 0.2718, 0.3707, 0.4236, 0.7451, 0.9053, 1.6293, 1.6709, 1.8197, 1.9067, 1.9467, 2.0832, 2.251]","[1.0711, 1.1702, 1.2078]","[1.0733, 1.1789, 1.2261]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,326,36003,326,1.6.2,326_stage_training_v2_20220117-104937,2022-01-17,10:49:46.027657,11:10:40.930550,,,,,,
