Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,StimDur,Delay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
10,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,49.870012,54.83821500000001,4.968202999999996,2.8181000000000003,3.9681,1.15,3.8253,3.9514,0.12609999999999966,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.9514, 4.0321, 4.1642, 4.3136, 4.4173, 4.5422, 4.6766000000000005, 4.8172000000000015, 4.9602]","[3.9589, 4.0985000000000005, 4.2165, 4.3474, 4.4711, 4.6048, 4.746, 4.8794]","[3.6738, 3.785]","[3.7189, 3.8433]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
11,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,54.854412,59.773915,4.919502999999999,2.8206,3.9194,1.0987999999999998,3.8278,3.9027,0.07489999999999998,iaa,iaa,1,,0,0,0,0,70.0,-70.0,"[4.2686, 4.6595, 4.758, 4.8904000000000005]","[0.0216, 4.2928000000000015, 4.6891, 4.8158]","[3.7791, 3.9027, 4.0015, 4.1135, 4.3834, 4.4949]","[3.8467, 3.9425, 4.051, 4.1678000000000015, 4.4268, 4.5543000000000005]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
12,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,59.788512,64.760615,4.972103000000004,2.8181000000000003,3.972,1.1538999999999997,3.8253,3.8884,0.06309999999999992,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.9553, 4.0621, 4.2414000000000005, 4.3657, 4.5082, 4.6702, 4.8521]","[0.0264, 3.9609, 4.1644000000000005, 4.2969, 4.4251000000000005, 4.5706000000000016, 4.7360000000000015, 4.9252]","[3.7665, 3.8884]","[3.8216, 3.9626]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
13,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,64.777812,69.648915,4.871103000000005,2.8206,3.871,1.0504000000000002,3.8278,3.8543,0.026499999999999968,iaa,iaa,1,,0,0,0,0,70.0,-70.0,"[3.8841, 4.5744, 4.6801, 4.7832]","[3.8965, 4.5882000000000005, 4.7164, 4.8421]","[3.5893, 3.7001, 3.8543, 3.8902, 3.9081, 3.9782, 4.0633, 4.1689, 4.1720000000000015, 4.1747000000000005, 4.2952, 4.4089, 4.5803]","[3.6048, 3.7567, 3.8805, 3.9044, 3.9167, 4.0009000000000015, 4.0991, 4.1707, 4.1729, 4.2118, 4.3366, 4.4604, 4.5866]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
14,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,69.664712,74.650715,4.986003000000012,2.8181000000000003,3.9859,1.1677999999999995,3.8253,3.9692,0.14389999999999992,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.9692, 4.2418000000000005, 4.3817, 4.4973, 4.6315, 4.7573, 4.8704, 4.8964]","[3.9778, 4.2803, 4.4063, 4.5295000000000005, 4.6583000000000006, 4.794300000000002, 4.8764, 4.9329]","[3.7166, 3.7939, 4.0541]","[3.7306, 3.8449, 4.1114000000000015]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
15,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,74.667612,79.523015,4.855402999999996,2.8206,3.8553,1.0347,3.8278,3.8386,0.0107999999999997,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.8611, 4.2947000000000015, 4.3922, 4.4954, 4.5213]","[3.8704, 4.2996, 4.4243000000000015, 4.5073, 4.5501000000000005]","[3.6923, 3.8386, 3.8462, 3.8631, 3.8718, 3.9512, 4.0423, 4.1539, 4.2924, 4.6215, 4.7572]","[3.7425, 3.8435, 3.8573, 3.8664, 3.8871, 3.9801, 4.077, 4.1871, 4.2982000000000005, 4.6725, 4.8027000000000015]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
16,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,79.538812,84.526115,4.987303000000012,2.8181000000000003,3.9872,1.1690999999999998,3.8253,3.8506,0.025299999999999656,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.9705, 4.0005000000000015, 4.0935000000000015, 4.1182, 4.2501, 4.3415, 4.4641, 4.4818, 4.6184]","[3.9951, 4.0280000000000005, 4.0962000000000005, 4.1513, 4.2755, 4.3926, 4.4786, 4.5174, 4.6513]","[3.7876, 3.8506, 4.7552, 4.8573, 4.9853000000000005]","[3.7939999999999996, 3.9048, 4.7837000000000005, 4.9103]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
17,1,0.0,1,0,0,1,0.0,0.0,1.0,0.0,1,84.54351199999998,89.393615,4.85010299999999,2.8206,3.85,1.0294,3.8278,3.8282,0.000399999999999956,iaa,iaa,1,,0,0,0,0,70.0,-70.0,[3.8282],[3.836],"[0.0112, 3.6546, 3.7699, 3.8333, 3.8853, 3.9145, 4.0308, 4.4264, 4.5836000000000015]","[0.0011, 0.028200000000000006, 3.7012, 3.7968, 3.8368, 3.8937, 3.9686, 4.0625, 4.4724, 4.6387]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
18,0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,1,89.408312,94.352715,4.944403000000007,2.8181000000000003,3.9443,1.1262,3.8253,3.9276,0.1022999999999996,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.9276, 3.9822, 4.3568]","[3.9481, 3.9921, 4.3779]","[3.7974, 4.0748, 4.1821, 4.4717, 4.7443]","[3.8579, 4.1234, 4.2364000000000015, 4.5394000000000005, 4.824]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
19,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,94.370312,99.225616,4.855304000000004,2.8206,3.8552,1.0345999999999995,3.8278,3.8385,0.010699999999999932,iaa,iaa,1,,0,0,0,0,70.0,-70.0,"[3.7357, 3.7849, 4.4427, 4.5613, 4.691, 4.8238]","[3.7683, 3.7952, 4.465, 4.5979, 4.7208000000000006, 4.849]","[3.8385, 3.8494, 3.9755, 4.0662, 4.1789000000000005, 4.2964]","[3.8424, 3.9073, 3.9997, 4.1099000000000006, 4.2226, 4.3441]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
20,0,0.0,0,1,0,0,0.0,1.0,1.0,1.0,1,99.240812,106.109315,6.868502999999991,2.8181000000000003,3.8589,1.0408,3.8181,3.8588,0.040699999999999736,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[4.2541, 4.3408, 4.4758, 4.6162, 5.0630000000000015, 5.1785000000000005]","[4.2713, 4.3938000000000015, 4.5268000000000015, 4.6541000000000015, 5.0954000000000015, 5.2421000000000015]","[3.8588, 3.8721, 3.9785, 4.0911, 4.7312, 4.862, 5.3247, 5.4892, 5.6842000000000015, 5.8306]","[3.8623, 3.9157, 4.0267, 4.1475, 4.7855, 4.9255, 5.3958, 5.5615000000000006, 5.749700000000002, 5.9032]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
21,1,1.0,1,0,0,0,1.0,0.0,1.0,1.0,1,106.126312,111.056215,4.929902999999996,2.8206,3.9298,1.1092,3.8206,3.9131,0.0924999999999998,iaa,iaa,1,,0,0,0,0,70.0,70.0,"[3.8195, 4.5344000000000015, 4.6617000000000015]","[3.8311, 4.5569000000000015, 4.6887]","[3.6532, 3.9131, 4.051, 4.1592, 4.2714, 4.394, 4.7635000000000005, 4.8937]","[3.6997, 3.9805, 4.098, 4.2021000000000015, 4.3183, 4.4387, 4.8181]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
22,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,111.070612,115.922215,4.851602999999997,2.8181000000000003,3.8515,1.0334,3.8181,3.8348,0.016699999999999715,aaa,aaa,1,,0,1,1,2,-70.0,-70.0,"[3.8348, 3.9129, 4.0339, 4.1801, 4.2958, 4.4463, 4.8289]","[3.8409, 3.9663, 4.0889999999999995, 4.2221, 4.3491, 4.4759]","[3.6671, 4.5468, 4.6743000000000015]","[0.0159, 3.7136, 4.5963, 4.7321]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
23,1,0.0,0,1,0,0,0.0,1.0,0.0,1.0,1,115.938312,122.932515,6.994202999999999,2.8206,3.9846,1.1639999999999997,3.8206,3.9845,0.16389999999999993,iaa,a00,0,|no track found in play,1,0,0,0,70.0,-70.0,[3.9845],"[0.0116, 3.9959]","[3.8127, 4.0789]","[3.8208, 4.1409]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
24,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,122.947112,127.794215,4.847102999999991,2.8206,3.847,1.0263999999999998,3.8206,3.8303,0.009700000000000042,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.7368, 4.2576, 4.3501, 4.4705]","[3.7551, 4.2747, 4.4007000000000005, 4.5272000000000014]","[3.8188, 3.8303, 3.9159, 4.0179, 4.1157, 4.2526, 4.598, 4.7107]","[3.8288, 3.8672, 3.9505, 4.0582, 4.1647, 4.276, 4.6514000000000015, 4.7713]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
25,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,127.80921200000002,132.665315,4.85610299999999,2.8181000000000003,3.8560000000000003,1.0378999999999996,3.8181,3.8393,0.02119999999999989,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.7884, 3.8393, 4.0785, 4.1824, 4.2958, 4.4128, 4.5424000000000015, 4.6755, 4.8377]","[3.8162, 3.8532, 4.1160000000000005, 4.2294, 4.3495, 4.4745, 4.6069, 4.734]","[3.711, 3.9152, 3.9283]","[3.7243, 3.9258, 3.9659]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
26,0,1.0,0,1,0,0,0.0,1.0,1.0,0.0,1,132.68221200000002,139.511215,6.829003,2.8181000000000003,3.8194,1.0012999999999996,3.8181,3.8193,0.0011999999999998678,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.9372, 3.9677, 6.247999999999999, 6.3581, 6.6817]","[3.9674, 3.9914, 6.2656, 6.4379, 6.7551000000000005]","[3.7061, 3.8035, 3.8193, 4.0804, 5.7857, 6.0752000000000015, 6.1928, 6.5346]","[3.7392, 3.8157, 3.8408, 4.1392, 5.8096000000000005, 6.1062, 6.1974, 6.5917]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
27,0,0.0,0,1,0,0,0.0,0.0,1.0,1.0,1,139.52891200000002,146.578815,7.0499030000000005,2.8181000000000003,4.0403,1.2222,3.8181,4.0402000000000005,0.2221000000000002,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[4.2992, 4.4264]","[4.3436, 4.4888]","[4.0402000000000005, 4.122, 4.6267000000000005]","[4.0509, 4.1739000000000015, 4.6547]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
28,0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,1,146.597112,151.452315,4.855202999999988,2.8181000000000003,3.8551,1.037,3.8181,3.8384,0.020299999999999763,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[3.8384, 3.9473, 4.0238000000000005, 4.1339999999999995, 4.2503, 4.3659, 4.4923, 4.6245]","[3.8722, 3.9613, 4.0701, 4.1838000000000015, 4.3015, 4.4247000000000005, 4.5534, 4.6922000000000015]","[3.6888, 4.8002]","[3.738, 4.8308]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
29,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,151.46891200000005,156.342515,4.873603000000003,2.8181000000000003,3.8735,1.0553999999999997,3.8181,3.8568,0.038699999999999964,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.8568, 3.9267, 4.0308, 4.141, 4.2620000000000005, 4.3911, 4.5197, 4.675]","[3.8625, 3.9699, 4.0783000000000005, 4.1966, 4.3256000000000006, 4.4536, 4.581, 4.7023]","[3.6904, 4.7888]","[3.7371, 4.8471]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
30,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,156.358312,161.255315,4.897002999999983,2.8206,3.8969,1.0762999999999998,3.8206,3.8802,0.0596000000000001,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.8127, 4.3351000000000015, 4.4355, 4.8481000000000005]","[3.8251, 4.3478, 4.4782, 4.876]","[3.5942000000000003, 3.8802, 3.9572, 4.0692, 4.1829, 4.3323, 4.5633, 4.6822]","[3.5959000000000003, 3.8848, 4.0076, 4.121, 4.2365, 4.3484, 4.6139, 4.7367]",0.0072,0.0072,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,804,36001,804,1.6.2,804_stage_training_v4_20230306-122357,2023-03-06,12:24:10.151444,13:21:46.732829
