Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,StimDur,Delay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,AWTrials,BlockLen
10,0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,1,65.977528,70.84071800000002,4.863189999999988,2.8181000000000003,3.8631,1.045,3.8288,3.8429,0.0141,aaa,aaa,1,,0,0,0,0,-70.0,-70.0,"[1.5348000000000002, 2.0887, 2.1125000000000003, 2.3004, 2.4165, 2.6605000000000003, 3.8429, 3.9043, 3.9221, 4.1546, 4.253, 4.3621, 4.3772, 4.3883, 4.5035, 4.6235, 4.7503]","[1.5254, 2.0779, 2.0908, 2.2995, 2.4039, 2.5682, 2.6882, 3.8953, 3.917, 4.1522000000000014, 4.2521, 4.3597, 4.3637000000000015, 4.3796, 4.4712000000000005, 4.5864, 4.7096, 4.8399]","[2.1169, 2.4154, 2.6599, 3.9521, 4.0734]","[2.0752, 2.4034, 2.5662000000000003, 2.6879, 4.0622, 4.8551]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
11,1,0.0,1,0,0,1,0.0,1.0,1.0,0.0,1,70.84662800000002,76.40921800000002,5.56259,2.8206,4.5625,1.7418999999999998,3.8301,4.1528,0.32269999999999976,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.0757, 0.1896, 0.2162, 0.3295, 1.3038, 1.4701, 1.5121, 3.0792, 3.4357, 4.1528, 4.6958, 5.4077]","[0.0883, 0.2035, 0.2419, 0.3913, 1.3203, 1.4745, 1.5486, 3.1062000000000003, 4.1209, 4.6483, 5.3902]","[0.0317, 0.6385000000000001, 0.7634000000000001, 0.7939, 0.9091, 1.7161000000000002, 3.4247, 4.5435, 4.5470000000000015]","[0.0918, 0.6835, 0.7861, 0.8246, 0.9765, 1.7284000000000002, 4.5415, 4.5436000000000005]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
12,0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,1,76.418628,82.045918,5.627290000000002,2.8181000000000003,4.6272,1.8091,3.8288,4.607,0.7782,aaa,aaa,1,,0,0,0,0,-70.0,-70.0,"[1.9832, 2.7141, 2.8862, 3.0357000000000003, 3.3504, 3.4730000000000003, 3.4802, 3.4816000000000003, 4.607, 5.2051, 5.3484, 5.4732]","[1.9602, 2.6648, 2.8623000000000003, 2.9927, 3.2053000000000003, 3.4162000000000003, 3.4765, 3.4805, 4.5938, 5.192, 5.3290000000000015, 5.4411000000000005, 5.6079]","[1.9915, 2.7118, 3.0244, 3.3485, 3.4847, 5.4699]","[1.9548, 2.6641, 3.0098000000000003, 3.2186000000000003, 3.4126000000000003, 5.4541, 5.6031]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
13,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,82.053128,87.052718,4.999589999999999,2.8206,3.9995,1.1788999999999996,3.8301,3.9805,0.15039999999999987,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.5654, 0.6938000000000001, 1.1496, 1.8632, 2.9139999999999997, 2.9651, 3.1372, 3.2912000000000003, 3.6181, 4.0407, 4.2650000000000015, 4.9471]","[0.5429999999999999, 0.6472, 1.1098, 1.8627, 1.8642, 2.9444000000000004, 3.1055, 3.2365000000000004, 3.5729, 3.9304, 4.2582, 4.9303]","[0.6558, 1.1533, 2.9129, 2.9653, 3.616, 3.9805, 3.9823]","[0.6555000000000001, 1.1054000000000002, 1.5389000000000002, 2.944, 3.5839000000000003, 3.943, 3.9807]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
14,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,87.06022800000002,91.921618,4.86139,2.8181000000000003,3.8613,1.0431999999999997,3.8288,3.8411,0.0123000000000002,aaa,aaa,1,,0,0,0,0,-70.0,-70.0,"[0.1033, 1.0871, 1.2122000000000002, 1.3426, 3.8411]","[0.035300000000000005, 0.1713, 1.0881, 1.2523, 1.4118000000000002, 3.8423]","[0.29810000000000003, 0.4183, 0.5709000000000001, 0.7169, 0.8699]","[0.0344, 0.32180000000000003, 0.488, 0.6429, 0.7872, 0.9383]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
15,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,91.928028,96.794118,4.86609,2.8206,3.866,1.0454,3.8301,3.847,0.01689999999999969,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.185, 0.3115, 0.4149000000000001, 0.5069, 0.5231, 0.625, 0.7447, 1.2333, 1.3357, 1.4706, 1.5053, 2.2011000000000003, 2.3202000000000003, 3.5489, 3.6567, 3.8881, 3.9529, 4.0525, 4.1579000000000015, 4.2462, 4.4876000000000005, 4.5894]","[0.2342, 0.33630000000000004, 0.4422, 0.5115000000000001, 0.5556, 0.6699, 0.7898000000000001, 1.2439, 1.3955, 1.4802, 1.5432, 2.2232000000000003, 2.3826, 3.6036, 3.753, 3.905, 4.0314000000000005, 4.1363, 4.2368000000000015, 4.4513, 4.5629]","[0.9093, 1.0117, 1.6917, 1.8218, 1.9792, 3.5245, 3.847, 4.4893]","[0.9279, 1.0766, 1.7174, 1.8844, 2.0517000000000003, 3.7764, 4.4548000000000005, 4.8406]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
16,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,96.801828,101.889818,5.087990000000005,2.8181000000000003,4.0879,1.2698,3.8288,4.0658,0.2370000000000001,aaa,aaa,1,,0,0,0,0,-70.0,-70.0,"[3.4419, 3.7048, 4.0677, 5.0362]","[0.0119, 3.6742, 4.0551, 4.9917]","[0.0372, 3.4331, 4.0658, 4.0785]","[0.0045000000000000005, 0.0682, 4.0511, 4.0680000000000005]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
17,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,101.895628,107.600918,5.705289999999992,2.8206,4.7052000000000005,1.8846000000000005,3.8301,4.6862,0.8561000000000001,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.4695, 3.6884, 4.6897, 4.7953, 4.9059, 5.0678, 5.2538, 5.2997000000000005, 5.3509]","[0.0401, 3.6663, 4.6311, 4.7552, 4.8952, 5.0316, 5.1649, 5.2665000000000015, 5.3149000000000015]","[3.4629000000000003, 4.6862, 4.711, 5.2364000000000015, 5.2423]","[0.034, 4.6443, 4.6864, 5.1876000000000015, 5.2419]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
18,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,107.609928,115.319818,7.7098900000000015,2.8181000000000003,6.7098,3.8917,3.8288,5.9647000000000014,2.1359000000000004,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[6.6896, 6.7513000000000005, 6.8857, 6.9047, 7.1979999999999995, 7.202800000000001, 7.679200000000002, 7.7097000000000016]","[0.0275, 6.6922000000000015, 6.7873, 6.8915000000000015, 6.9670000000000005, 7.2017000000000015, 7.2035, 7.6824]","[5.9647000000000014, 6.1943, 6.3129, 6.3703, 7.6476000000000015, 7.6613000000000016]","[0.0171, 5.967300000000002, 6.2010000000000005, 6.362500000000002, 6.3746, 7.6531]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
19,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,115.326328,120.544318,5.21799,2.8206,4.2179,1.3973,3.8301,4.1989,0.3687999999999998,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[3.5336000000000003, 4.2331, 4.2456000000000005, 4.2925, 4.3213, 4.421, 4.4416, 4.4539, 4.5263, 4.5427, 4.6294, 4.7407, 4.8963, 4.9918000000000005, 5.1029]","[0.005, 4.1723, 4.235, 4.2811, 4.3077000000000005, 4.3806, 4.4336, 4.447, 4.4824, 4.5418, 4.5846, 4.6958, 4.8079, 4.9457, 5.065]","[0.006200000000000001, 3.5222, 4.1989, 4.2016, 4.2271]","[0.0054, 0.011, 4.192, 4.199, 4.2207]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
20,1,1.0,0,1,0,0,0.0,1.0,0.0,0.0,1,120.551728,128.148218,7.596490000000018,2.8206,4.5869,1.7662999999999998,3.8206,4.5868,0.7662,iaa,iaa,1,,0,0,1,1,70.0,70.0,"[0.0452, 3.4859, 3.6581, 3.7015, 4.5868, 4.9662000000000015, 6.2685, 6.4564]","[0.0373, 0.0487, 3.6315, 3.6954, 4.5302, 4.9185, 6.1859, 6.4030000000000005]","[3.4806000000000004, 6.260000000000002, 6.465000000000002, 7.0873]","[0.079, 6.235600000000002, 6.4055, 7.0804]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
21,0,1.0,0,1,0,0,0.0,0.0,1.0,0.0,1,128.156328,135.263118,7.1067899999999895,2.8181000000000003,4.0972,1.2790999999999997,3.8181,4.0971,0.2789999999999999,aaa,aaa,1,,0,0,0,0,-70.0,70.0,"[3.4684000000000004, 3.711]","[0.0191, 3.678]","[3.4568000000000003, 4.0971]","[0.0339, 4.0557]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
22,0,0.0,0,1,0,0,0.0,0.0,1.0,1.0,1,135.268728,143.18571799999995,7.9169899999999975,2.8181000000000003,4.9074,2.0893,3.8181,4.9073,1.0892,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.044500000000000005, 0.2316, 0.9236, 1.0549, 3.4205, 3.6139, 3.6204]","[0.0347, 0.046200000000000005, 0.2763, 0.9723, 1.1283, 3.6117, 3.6181]","[0.0267, 0.0442, 0.0606, 0.0775, 0.4199, 0.5535, 0.7272000000000001, 3.4048000000000003, 4.9073, 7.7759]","[0.0218, 0.034, 0.0486, 0.0714, 0.0849, 0.4505, 0.6281, 0.8021, 4.8618000000000015, 7.6935]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
23,1,1.0,1,0,0,0,1.0,0.0,1.0,1.0,1,143.193928,148.403018,5.209090000000003,2.8206,4.2090000000000005,1.3884000000000003,3.8206,4.19,0.3694000000000002,iaa,iaa,1,,0,0,1,1,70.0,70.0,"[3.4562000000000004, 3.6264, 3.6915, 4.2149, 4.3265]","[0.0322, 3.5961000000000003, 3.6712, 4.1366000000000005, 4.319]","[3.4493, 4.19, 4.1954]","[0.0637, 4.1372, 4.1901]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
24,0,0.0,0,1,0,0,0.0,1.0,1.0,1.0,1,148.410228,155.343818,6.9335900000000095,2.8181000000000003,3.924,1.1058999999999997,3.8181,3.9239,0.1057999999999999,aaa,aaa,1,,0,0,0,0,-70.0,-70.0,"[3.4241, 3.622, 3.6907, 4.4399000000000015, 4.9342000000000015]","[0.0151, 3.6158, 3.6793, 4.3817, 4.9199]","[3.4156, 3.9239, 4.4094000000000015, 4.9383]","[0.020800000000000003, 3.911, 4.4054, 4.9067]",0.0107,0.0095,20,0.75,2.0,0.0,0,0,1,0,0,10,0,0,0,0.0,0.5,,,,/dev/ttyACM38,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod8,791,36001,791,1.6.2,791_stage_training_v4_20230306-154858,2023-03-06,15:49:10.191738,16:57:38.246868,,
